O*NET-SOC Code,Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-3031.03,Investment Fund Managers,3.88,4.12,3.88,3.12,4.0,0.0,0.0,0.0,2.88,4.25,3.12,3.0,2.12,3.38,3.62,4.0,3.5,0.0,1.62,1.5,3.5,1.12,0.75,4.25,0.0,0.0,3.0,3.38,4.12,3.75,3.75,1.38,3.88,0.0,3.88
11-3051.00,Industrial Production Managers,4.0,4.0,3.88,4.0,4.0,1.38,2.0,0.0,3.62,4.38,4.0,4.0,4.0,4.25,3.75,4.88,3.75,3.12,2.88,3.5,3.62,0.75,3.88,4.0,1.62,1.12,3.12,3.88,4.0,3.88,3.75,1.12,4.12,2.25,4.0
11-3051.01,Quality Control Systems Managers,4.12,4.12,4.12,3.88,4.12,1.5,1.38,0.0,3.62,4.12,3.38,3.0,2.75,3.5,3.25,4.5,3.12,3.0,3.0,3.5,3.5,1.25,4.12,4.12,1.12,2.25,3.25,3.75,4.12,3.88,4.0,1.62,3.75,2.75,4.0
11-3051.02,Geothermal Production Managers,3.25,3.62,3.62,3.62,3.88,2.75,2.62,0.0,3.5,3.62,3.38,3.75,3.25,3.88,3.75,4.38,3.38,2.88,2.38,3.5,3.38,1.25,2.88,4.25,3.0,2.5,3.0,3.62,4.0,3.62,3.75,1.88,3.88,3.12,3.75
11-3051.03,Biofuels Production Managers,3.62,3.88,3.75,4.0,3.88,0.75,0.38,0.0,3.62,3.88,3.5,3.12,3.0,3.62,3.25,3.88,3.25,3.38,2.0,3.5,3.38,1.62,3.12,4.0,0.12,3.5,3.25,3.75,4.0,3.5,3.38,1.5,3.75,2.0,3.5
11-3051.04,Biomass Power Plant Managers,3.38,3.88,3.75,4.0,4.0,2.75,2.0,0.0,3.5,3.88,3.12,3.62,3.62,4.12,3.25,4.62,2.88,3.0,2.12,3.88,3.25,0.88,3.25,4.25,2.75,2.5,2.75,3.62,4.0,3.75,3.75,0.75,3.75,3.0,3.75
11-3051.06,Hydroelectric Production Managers,3.62,4.0,3.75,3.75,4.0,2.62,1.88,0.38,3.88,3.88,3.75,3.38,3.38,3.75,3.5,3.75,3.62,3.25,2.0,3.62,3.5,1.38,3.38,4.12,2.75,3.25,3.38,3.62,4.12,3.38,3.5,1.38,3.75,3.0,3.88
11-3061.00,Purchasing Managers,3.75,4.0,3.25,3.88,4.0,0.0,0.0,0.0,3.88,3.75,3.75,3.62,3.88,4.0,3.12,4.0,4.0,0.0,2.75,1.88,4.12,1.25,1.75,4.0,0.0,0.0,3.88,4.0,4.0,3.88,3.75,1.38,4.0,1.12,4.0
11-3071.00,"Transportation, Storage, and Distribution Managers",3.66,3.96,3.5,4.0,4.08,0.0,0.17,0.0,3.25,3.63,3.38,3.33,3.17,3.79,3.17,4.13,3.58,1.83,2.96,2.29,3.58,0.58,1.96,4.0,0.08,0.46,3.21,3.67,3.96,3.46,3.67,0.79,3.88,1.0,3.67
11-3071.04,Supply Chain Managers,3.75,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.25,4.0,3.25,3.0,3.75,3.88,3.0,4.12,3.75,0.0,2.38,1.88,3.62,0.88,1.62,4.0,0.0,0.38,3.12,3.88,4.0,3.75,3.88,1.38,4.0,0.88,4.0
11-3111.00,Compensation and Benefits Managers,4.0,4.12,3.25,3.5,4.0,0.0,0.0,0.0,3.12,4.0,3.12,3.75,1.75,3.75,3.12,3.62,3.25,0.0,2.88,0.5,3.38,0.88,0.88,4.12,0.0,0.0,3.12,3.88,4.12,3.75,3.88,0.62,3.75,0.0,4.12
11-3121.00,Human Resources Managers,4.0,4.0,3.75,3.88,4.12,0.0,0.0,0.0,3.88,4.0,3.75,3.62,2.88,4.5,3.0,4.12,4.0,0.25,2.0,0.75,4.0,1.38,0.75,4.12,0.0,1.0,3.75,4.0,4.0,3.62,4.0,0.88,4.12,0.0,4.0
11-3131.00,Training and Development Managers,4.25,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.75,4.0,5.25,3.88,3.0,4.12,3.0,4.25,3.25,0.0,2.88,1.12,3.88,0.75,2.12,4.0,0.0,0.88,3.62,4.0,4.75,3.88,4.0,0.75,4.0,0.25,4.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.42,3.67,3.25,3.63,3.87,2.21,1.96,0.08,3.21,3.59,3.13,3.21,3.25,3.5,2.83,3.71,3.37,2.75,2.42,3.0,3.37,0.71,2.87,3.75,1.88,2.88,2.91,3.38,3.75,3.21,3.25,1.04,3.58,2.21,3.59
11-9021.00,Construction Managers,3.88,4.12,4.0,4.12,4.12,0.0,0.0,0.0,3.38,4.25,3.12,4.0,3.88,4.25,3.62,4.25,3.88,1.75,3.5,3.0,3.75,0.5,3.12,4.12,0.0,1.75,2.88,3.62,4.12,3.62,3.88,0.75,4.0,2.0,3.88
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.88,4.0,3.5,4.0,4.0,0.0,0.0,0.0,3.88,3.88,3.88,3.25,3.12,4.0,2.88,4.12,3.62,0.62,1.0,1.5,3.5,0.62,1.75,4.12,0.0,0.75,4.0,3.88,4.0,3.12,3.38,0.75,3.88,0.88,4.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.12,4.5,4.25,4.12,4.38,0.0,0.12,0.0,4.12,4.38,4.62,4.0,3.25,4.38,3.25,4.75,3.88,0.12,2.38,0.75,4.0,0.75,3.0,4.62,0.0,1.38,3.88,4.25,4.38,3.88,4.25,0.75,4.12,0.62,4.38
11-9033.00,"Education Administrators, Postsecondary",4.0,4.25,4.0,4.0,4.25,0.0,0.0,0.0,4.0,4.0,4.0,3.12,3.5,4.0,3.12,4.25,3.75,0.0,0.88,1.38,3.75,0.5,0.5,4.62,0.0,0.5,3.88,4.0,4.25,3.75,3.75,0.75,4.0,0.0,4.25
11-9041.00,Architectural and Engineering Managers,3.88,4.0,4.25,4.12,4.25,0.12,0.0,0.0,3.75,4.25,3.12,3.25,3.0,3.88,4.25,4.0,3.88,1.12,2.25,2.62,3.75,1.12,3.12,4.38,0.0,2.75,3.25,3.62,4.0,3.62,3.25,1.75,4.0,2.0,4.12
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.75,3.62,3.88,3.38,4.12,1.38,2.12,0.38,3.25,3.88,3.25,1.88,1.88,3.38,3.12,3.88,3.38,1.75,2.25,3.0,3.38,1.38,3.0,4.25,1.25,3.0,2.88,3.12,3.5,3.5,3.5,1.62,3.5,1.62,3.88
11-9051.00,Food Service Managers,3.75,3.5,3.0,3.75,3.75,1.12,0.88,0.0,3.38,2.88,3.25,3.0,3.0,3.75,2.88,3.88,3.5,1.75,2.38,2.25,3.12,0.62,2.25,3.62,0.88,1.12,3.62,3.75,3.62,2.62,2.5,0.38,3.75,1.5,3.12
11-9071.00,Gambling Managers,3.62,3.75,3.12,4.12,4.0,0.0,0.0,0.0,3.62,3.62,3.38,2.75,2.38,4.0,3.12,4.0,3.5,0.5,2.12,2.0,3.62,0.88,2.12,3.88,0.0,0.62,3.75,4.0,3.88,3.0,3.0,0.62,3.75,0.88,3.88
11-9081.00,Lodging Managers,3.88,4.0,3.25,3.75,3.88,0.75,0.75,0.0,3.75,3.75,3.62,3.5,3.62,4.0,2.88,3.75,4.0,2.0,1.0,2.12,4.0,0.88,2.38,3.88,0.75,0.0,4.12,3.88,4.0,3.0,3.5,1.0,3.88,1.5,4.0
11-9111.00,Medical and Health Services Managers,3.88,4.12,3.5,4.12,4.12,0.0,0.0,0.0,3.88,4.0,3.88,3.62,3.62,4.12,3.0,4.12,3.5,0.0,3.88,1.88,4.0,1.38,1.62,4.12,0.0,2.5,3.75,4.0,4.0,3.38,3.88,1.12,4.0,0.62,4.0
11-9121.00,Natural Sciences Managers,4.75,4.75,4.25,4.0,4.38,0.0,0.25,0.0,3.88,4.12,3.88,3.62,3.0,4.62,4.0,4.12,3.12,1.5,3.88,2.12,3.75,1.62,2.0,5.0,0.0,4.88,2.88,3.88,4.25,3.88,3.88,2.88,4.12,1.12,5.0
11-9121.01,Clinical Research Coordinators,4.0,4.0,3.62,4.12,4.0,0.0,0.12,0.0,3.0,3.62,3.38,2.25,2.75,3.5,3.0,3.75,3.38,0.12,1.12,1.25,3.25,0.88,1.12,4.25,0.0,3.0,3.75,3.75,4.0,2.88,3.38,0.75,3.62,0.38,4.0
11-9121.02,Water Resource Specialists,3.75,4.0,4.12,3.25,4.0,0.0,0.0,0.0,3.25,3.88,3.25,2.62,2.62,3.25,3.75,3.75,3.0,2.0,2.62,3.0,3.5,1.5,2.88,4.12,0.0,3.25,3.0,3.62,4.0,4.0,3.88,1.62,3.88,1.88,4.0
11-9131.00,Postmasters and Mail Superintendents,3.12,3.38,3.12,3.5,3.88,0.0,0.0,0.0,3.25,3.12,3.25,2.75,2.75,3.5,2.5,3.62,3.25,1.25,2.12,2.25,3.5,0.88,1.88,3.88,0.0,0.5,3.12,3.5,4.0,3.0,3.0,1.12,3.88,1.5,3.75
11-9141.00,"Property, Real Estate, and Community Association Managers",3.12,4.0,3.12,3.75,3.88,0.0,0.12,0.0,3.12,3.38,3.12,3.0,2.88,3.12,3.0,3.12,3.75,0.5,1.88,0.88,3.5,0.5,2.0,4.0,0.0,0.5,3.0,3.38,4.0,2.12,2.12,0.25,3.5,0.62,4.0
11-9151.00,Social and Community Service Managers,3.88,4.25,4.12,4.0,4.12,0.0,0.0,0.0,3.88,4.12,3.75,3.12,2.38,4.38,3.12,4.0,3.75,1.62,3.38,2.25,3.75,0.88,1.62,4.12,0.0,2.0,4.0,4.62,4.12,3.75,3.88,1.12,4.0,0.75,4.0
11-9161.00,Emergency Management Directors,4.25,4.12,5.38,5.0,4.38,0.0,0.0,0.0,4.12,4.25,4.0,2.75,2.88,3.75,3.0,4.62,3.5,1.38,3.25,2.0,4.0,0.5,2.25,4.12,0.0,1.5,5.25,4.12,4.25,4.12,4.12,0.5,3.88,0.5,4.25
11-9171.00,Funeral Home Managers,3.0,3.62,3.0,3.25,3.62,0.0,0.0,0.0,3.38,3.12,3.0,2.75,2.75,3.5,2.62,3.62,3.38,1.88,0.62,2.12,3.62,0.75,2.0,3.75,0.0,0.38,4.0,3.62,3.88,2.62,2.62,0.75,3.62,1.12,3.62
11-9179.01,Fitness and Wellness Coordinators,3.5,3.62,3.12,3.62,3.75,0.5,1.12,0.0,3.5,3.12,3.75,3.0,3.0,3.38,2.38,3.75,3.12,0.62,1.12,1.5,3.5,0.38,2.12,3.88,0.12,1.25,3.5,3.75,4.0,3.0,3.12,1.62,3.38,1.12,3.62
11-9179.02,Spa Managers,3.88,3.5,3.12,4.0,4.0,0.0,0.5,0.0,3.25,3.25,3.62,3.75,3.5,3.88,2.88,4.12,3.38,1.62,0.88,2.0,3.75,0.75,2.12,3.75,0.0,0.12,3.62,4.0,4.0,2.88,3.12,1.38,4.0,1.62,3.62
11-9199.01,Regulatory Affairs Managers,3.88,4.0,3.38,3.88,4.12,0.0,0.0,0.0,3.38,4.0,3.5,2.0,1.75,3.62,2.88,4.12,3.12,0.12,3.62,0.88,3.25,0.75,0.5,4.25,0.0,2.0,3.0,3.88,4.0,3.88,3.75,0.75,3.62,0.0,4.0
11-9199.02,Compliance Managers,3.88,4.12,3.5,3.75,4.25,0.0,0.12,0.0,3.75,3.88,3.5,1.5,1.38,2.88,2.25,4.62,3.12,0.62,1.38,1.5,3.75,0.88,1.88,4.12,0.0,0.5,2.88,3.62,4.12,3.38,3.38,0.75,3.12,0.38,4.12
11-9199.08,Loss Prevention Managers,3.75,4.0,3.88,3.62,4.0,0.0,0.0,0.0,3.88,4.0,3.25,2.12,2.38,4.0,2.75,4.0,3.38,1.75,2.25,2.88,3.88,0.75,2.38,4.0,0.0,0.0,3.75,3.75,4.0,4.0,3.88,1.12,3.88,1.25,3.88
11-9199.09,Wind Energy Operations Managers,3.62,4.0,3.75,3.88,4.0,2.25,2.25,0.0,3.62,3.62,3.12,3.62,3.12,4.0,3.25,4.12,3.88,2.5,2.25,3.25,3.75,1.25,3.0,4.0,2.12,1.12,3.12,4.0,4.0,3.25,3.12,1.25,3.25,2.5,4.0
11-9199.10,Wind Energy Development Managers,4.0,3.75,3.25,3.88,4.25,0.38,0.38,0.0,3.25,3.5,2.88,3.5,3.5,3.38,3.5,3.88,3.75,1.38,1.62,1.88,3.75,1.25,2.5,4.25,0.38,1.12,3.12,3.62,3.75,3.12,3.38,1.0,3.62,1.38,3.88
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3.88,4.0,4.12,4.12,4.25,0.0,0.38,0.0,3.12,4.0,3.0,3.75,3.12,3.12,3.88,4.12,3.75,1.75,3.0,2.62,3.5,0.75,2.88,4.5,0.0,3.25,3.0,3.12,4.12,3.75,3.75,1.62,3.5,1.0,4.12
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.5,4.0,3.38,3.75,3.75,0.0,0.0,0.0,2.88,3.75,2.75,1.62,0.75,3.12,2.0,3.0,4.0,0.25,1.25,0.25,4.12,0.5,0.0,4.0,0.0,0.62,3.38,3.5,4.0,2.5,2.5,0.38,3.38,0.0,3.88
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.12,3.38,3.0,3.12,3.75,0.0,0.0,0.0,2.88,3.38,3.0,2.88,3.12,3.0,3.0,3.12,3.62,1.75,1.75,2.12,3.75,0.75,2.38,3.5,0.25,1.38,2.62,3.12,3.88,2.88,2.62,1.0,3.0,1.25,3.12
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.88,3.88,3.12,3.38,4.0,0.0,0.0,0.0,3.12,3.75,3.25,3.38,3.12,3.12,3.38,4.0,4.0,0.38,2.0,1.0,4.0,0.88,1.75,3.88,0.0,0.88,3.12,3.5,3.88,3.0,3.38,0.62,3.12,0.0,3.38
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.88,3.88,3.88,3.12,3.88,0.0,0.0,0.0,3.25,3.88,3.12,3.75,3.25,3.0,2.88,3.88,4.0,0.0,2.38,0.75,4.0,0.38,1.88,4.0,0.0,0.25,3.12,3.5,4.0,2.62,3.12,0.75,3.88,0.75,3.75
13-1031.00,"Claims Adjusters, Examiners, and Investigators",3.5,4.25,3.38,3.12,4.25,0.0,0.38,0.0,2.88,3.75,2.75,1.88,1.38,2.75,2.88,3.88,3.25,0.25,0.88,1.25,3.0,1.5,2.5,4.5,0.0,0.5,3.0,3.38,4.0,2.62,3.12,0.75,3.0,0.88,3.88
13-1032.00,"Insurance Appraisers, Auto Damage",3.0,3.88,2.88,2.88,3.75,0.75,0.62,0.0,2.0,3.12,1.5,1.62,0.88,2.12,2.75,2.88,2.88,2.0,1.38,2.25,2.88,0.5,2.25,3.62,0.88,0.25,3.0,3.0,3.75,2.12,2.38,0.5,3.0,1.5,3.25
13-1041.00,Compliance Officers,3.0,4.0,3.0,2.88,3.88,0.0,0.0,0.0,2.88,3.62,2.75,1.38,1.25,2.5,2.25,3.25,3.0,2.0,1.25,2.5,3.12,1.12,2.38,4.0,0.0,0.0,3.12,3.62,4.0,2.88,2.75,0.38,2.88,1.12,3.75
13-1041.01,Environmental Compliance Inspectors,4.12,4.0,4.12,3.0,4.25,0.12,0.0,0.0,3.12,3.88,3.25,0.75,0.62,2.62,3.12,4.38,3.0,2.62,2.5,3.38,2.88,1.12,3.38,4.75,0.0,3.25,2.88,3.38,4.25,3.38,3.75,0.88,3.0,2.0,4.12
13-1041.03,Equal Opportunity Representatives and Officers,4.0,4.62,3.62,3.25,4.5,0.0,0.12,0.0,3.38,3.75,3.38,0.38,0.38,2.0,2.75,3.88,3.62,0.12,1.88,1.25,4.0,1.5,1.25,4.75,0.0,0.75,3.38,4.12,4.25,3.25,3.5,0.88,3.0,0.0,4.38
13-1041.04,Government Property Inspectors and Investigators,3.38,4.12,3.38,3.38,4.12,0.0,0.0,0.0,3.25,4.0,3.12,1.5,1.88,2.88,3.12,4.12,3.25,2.5,1.25,3.0,3.5,1.25,3.25,4.25,0.0,1.25,3.12,3.25,4.12,3.38,3.38,0.75,3.12,1.12,4.0
13-1041.06,Coroners,3.75,4.12,3.25,3.25,4.12,0.0,0.62,0.0,3.0,3.75,3.0,0.75,1.38,2.88,2.5,3.5,2.5,2.0,0.62,2.0,2.62,0.5,1.62,4.25,0.0,3.75,3.25,4.0,4.12,2.88,2.38,0.62,3.0,0.75,4.12
13-1041.07,Regulatory Affairs Specialists,3.88,4.0,3.88,3.88,4.25,0.0,0.0,0.0,3.0,4.12,3.0,1.88,1.38,3.0,2.88,3.75,3.25,0.0,2.62,1.75,3.75,1.38,2.0,4.75,0.0,1.12,3.0,3.25,4.12,4.0,3.88,1.0,3.38,0.0,4.12
13-1041.08,Customs Brokers,3.62,4.0,3.12,3.12,3.88,0.0,0.0,0.0,3.0,3.0,3.0,2.62,2.5,3.0,3.0,3.62,3.12,0.0,0.75,1.38,3.0,1.38,0.25,4.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,0.88,3.12,0.0,3.88
13-1051.00,Cost Estimators,3.88,4.0,3.62,3.12,4.12,0.0,0.12,0.0,2.75,3.75,3.0,3.62,3.0,2.5,4.12,3.25,3.25,0.0,2.5,0.75,3.5,0.88,0.38,4.12,0.0,0.38,2.88,3.0,4.0,3.5,3.12,0.75,3.0,0.0,4.0
13-1071.00,Human Resources Specialists,3.38,4.0,3.12,3.5,4.0,0.0,0.0,0.0,3.12,3.5,3.25,1.25,1.25,2.88,2.0,3.75,3.0,0.12,0.25,0.5,3.0,0.62,0.75,4.0,0.0,0.12,3.25,3.88,4.0,2.75,2.88,0.75,3.0,0.0,4.0
13-1074.00,Farm Labor Contractors,2.38,3.12,2.75,3.38,3.25,0.0,0.25,0.0,2.88,2.75,2.12,1.88,1.62,3.38,2.12,2.62,3.0,2.38,0.5,2.38,2.88,0.5,1.38,2.88,0.0,0.38,2.62,3.0,3.38,2.0,1.62,0.0,3.38,1.12,2.75
13-1075.00,Labor Relations Specialists,3.88,4.5,3.75,3.62,4.12,0.0,0.0,0.0,2.88,4.0,3.12,1.62,1.5,2.88,2.62,3.88,4.38,0.12,0.88,0.5,4.38,0.25,0.25,4.25,0.0,0.0,3.62,4.0,4.75,3.25,3.25,0.38,3.12,0.0,4.5
13-1081.00,Logisticians,3.5,4.12,3.88,4.25,4.12,0.0,0.0,0.0,3.0,4.0,3.5,2.25,2.62,3.75,3.38,4.62,3.5,0.12,4.0,1.62,3.62,1.75,2.25,4.12,0.0,0.88,3.38,3.62,4.0,3.88,3.88,0.75,3.75,0.0,3.75
13-1081.01,Logistics Engineers,3.88,4.12,4.0,3.62,4.25,0.75,1.12,0.0,3.0,4.0,3.5,2.88,2.88,3.62,4.0,3.88,2.88,0.75,3.75,2.62,3.12,2.25,2.88,4.38,0.75,2.88,3.0,3.5,4.0,4.25,4.12,2.25,3.88,2.12,4.12
13-1081.02,Logistics Analysts,3.75,4.0,4.0,3.12,4.12,0.0,0.0,0.0,2.88,4.0,3.0,2.5,2.25,2.88,3.75,4.0,2.88,0.0,2.62,2.0,2.88,1.75,2.25,4.0,0.0,0.75,2.88,3.0,3.38,4.0,3.88,1.75,3.38,0.5,4.0
13-1111.00,Management Analysts,3.88,4.12,4.0,4.0,4.12,0.0,0.12,0.0,3.5,4.12,3.75,1.5,2.25,3.12,3.25,4.12,3.12,0.5,3.88,1.12,3.88,1.25,0.88,4.12,0.0,1.75,3.25,4.0,4.0,3.88,3.88,1.38,3.25,0.25,4.0
13-1121.00,"Meeting, Convention, and Event Planners",3.12,4.0,3.5,4.0,3.88,0.62,0.88,0.0,3.12,3.38,2.88,3.12,2.88,3.38,2.5,3.75,3.62,1.75,2.62,1.62,3.5,0.38,1.62,4.0,0.75,0.25,3.88,3.75,4.0,3.12,3.38,0.75,3.75,0.75,3.62
13-1131.00,Fundraisers,3.5,4.12,3.25,3.88,4.0,0.0,0.12,0.0,3.0,3.75,3.0,3.12,2.25,2.88,3.0,3.5,3.88,0.62,1.25,0.75,4.38,0.5,0.62,4.0,0.0,0.38,3.25,3.88,4.38,3.0,3.12,0.75,3.62,0.0,4.12
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.62,4.0,3.75,3.12,4.0,0.0,0.0,0.0,3.12,3.75,3.5,1.75,1.75,3.0,3.38,3.62,3.12,0.0,3.12,1.25,3.5,1.5,0.62,4.12,0.0,2.25,3.0,3.75,4.0,3.62,3.5,1.0,3.12,0.0,3.88
13-1151.00,Training and Development Specialists,3.88,4.0,3.25,3.88,4.0,0.0,0.12,0.0,4.12,4.0,5.0,2.88,2.25,3.38,2.5,4.12,3.12,0.12,3.5,1.12,3.38,0.75,1.0,4.0,0.0,1.12,3.75,4.0,4.25,3.12,3.62,1.25,3.75,0.0,4.12
13-1161.00,Market Research Analysts and Marketing Specialists,4.0,4.0,3.75,3.12,4.0,0.0,0.0,0.0,3.0,4.12,3.0,1.62,1.38,2.88,3.38,3.62,2.75,0.0,3.12,1.38,3.25,2.0,0.88,4.62,0.0,2.25,2.88,3.38,4.0,3.88,3.88,0.75,3.12,0.0,4.12
13-1161.01,Search Marketing Strategists,3.88,4.0,4.12,3.62,3.88,0.0,0.0,0.0,3.12,3.75,3.0,2.0,1.88,3.0,2.88,3.75,3.12,0.0,2.25,1.88,3.62,2.12,1.5,4.12,0.0,0.25,3.0,3.25,3.75,3.75,3.75,2.25,3.5,0.25,3.75
13-1199.04,Business Continuity Planners,3.75,3.88,4.75,3.75,4.5,0.0,0.25,0.0,3.75,4.0,3.62,3.25,2.75,3.38,2.88,3.88,3.12,0.25,2.75,2.38,3.75,1.25,2.25,4.12,0.0,0.12,3.62,3.5,4.0,4.0,3.75,1.5,3.38,0.88,4.0
13-1199.05,Sustainability Specialists,3.38,4.0,3.62,3.5,4.0,0.0,0.12,0.12,3.0,3.62,3.12,2.0,1.75,2.88,2.88,3.5,3.0,0.25,2.12,2.0,3.25,0.62,2.12,4.12,0.0,1.75,3.0,3.25,4.12,3.25,3.62,1.12,3.0,0.75,4.12
13-1199.06,Online Merchants,3.12,3.62,3.0,2.88,3.88,0.0,0.75,0.12,2.62,3.25,2.5,3.38,2.88,2.5,3.12,3.62,3.12,0.25,1.5,1.38,3.12,1.75,1.12,3.75,0.25,0.25,3.25,2.75,3.38,2.38,3.0,1.12,2.62,0.12,3.25
13-2011.00,Accountants and Auditors,3.5,4.0,3.56,3.19,3.88,0.0,0.0,0.0,3.19,3.75,3.0,2.56,1.75,3.06,4.0,3.56,3.06,0.0,2.69,1.5,3.31,1.0,1.12,4.06,0.0,1.62,3.12,3.12,3.88,3.62,3.44,0.94,3.38,0.19,3.62
13-2023.00,Appraisers and Assessors of Real Estate,3.31,3.81,3.0,2.69,3.88,0.0,0.06,0.0,2.13,3.69,2.0,1.56,1.31,2.06,3.69,2.81,2.69,1.75,0.81,1.75,2.75,0.56,1.62,4.0,0.0,0.94,2.94,2.94,3.88,2.94,2.19,0.38,2.94,0.69,3.75
13-2031.00,Budget Analysts,3.38,4.0,3.5,3.0,3.88,0.0,0.0,0.0,2.88,3.62,2.75,3.75,2.0,2.75,3.5,3.38,2.75,0.0,3.0,1.0,2.88,1.12,0.5,4.0,0.0,0.25,2.75,3.0,3.38,3.5,3.0,0.88,3.0,0.0,3.75
13-2041.00,Credit Analysts,3.62,4.0,3.0,2.5,4.0,0.0,0.0,0.0,2.38,3.75,2.5,1.88,0.88,1.88,4.12,3.0,2.75,0.25,2.38,1.0,2.5,1.0,0.75,4.0,0.0,0.38,3.0,2.88,4.0,3.0,3.12,0.0,3.0,0.0,3.88
